company,domain,country,notes,itewiki
Codento,codento.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/codento
Bluugo,bluugo.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/bluugo
Basen,basen.net,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/basen
Amplon,amplon.io,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/amplon
Pandia,pandia.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/pandia
SW Tech,sw-tech.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/sw-tech
Intunex,intunex.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/intunex
Napa,napa.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/napa
Lukoton Experience,lukoton.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/lukoton-experience
Pehutec,pehutec.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/pehutec
Oy Raisoft,raisoft.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/oy-raisoft
Ada Drive,adadrive.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/ada-drive
Nyholm Solutions,nyholmsolutions.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/nyholm-solutions
Orchidea Innovations,orchidea.dev,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/orchidea-innovations
Circles Consulting,circles.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/circles-consulting
Lempea,lempea.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/lempea
Taipuva Consulting,taipuva.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/taipuva-consulting
Dyme Solutions,dymesolutions.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/dyme-solutions
Miili Consulting,miiliconsulting.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/miili-consulting
Advian,advian.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/advian
Devisioona,devisioona.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/devisioona
Sovector,sovector.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/sovector
Symcode,symcode.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/symcode
Fincet,tool4pro.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/fincet
Marvel Consulting Group,marvelconsulting.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/marvel-consulting-group
Nolwenture,nolwenture.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/nolwenture
Nemesys Ltd,nemesys.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/nemesysltd
Production Software,smartmes.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/production-software
Adusso,adusso.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/adusso
Prove Expertise,prove.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/prove-expertise
Avoin Systems,avoin.systems,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/avoin-systems
JSP IT Solutions,jsp-it.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/jsp-it-solutions
Innovatics,innovatics.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/innovatics
Jamix,jamix.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/jamix
Haituva Innovations,innoduel.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/haituva-innovations
Softico,softico.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/softico
Tolotech,tolotech.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/tolotech
Codeline,codeline.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/codeline
Ferovalo,ferovalo.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/ferovalo
Aiddo,aiddocs.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/aiddo
Mediapool,mediapool.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/mediapool
Weasel Software,weaselsoftware.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/weasel-software
Poweresta,poweresta.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/poweresta
Lingonberry Island,lingonberryisland.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/lingonberry-island
Dtalent Consulting Finland,digitalentconsulting.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/dtalent-consulting-finland
Leanlab,leanlab.co,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/leanlab
Amipro Service,amipro.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/amipro-service
Plan 365,plan-365.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/plan-365
Funidata,funidata.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/funidata
Kamoon Digital,kamoon.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/kamoon-digital
Oy Fision Ltd,fision.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/oy-fision-ltd
Arvosofta,arvosofta.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/arvosofta
Work Pilots,workpilots.com,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/work-pilots
Kinetive,kinetive.fi,FI,"Is part of Software Finland Ry",https://www.itewiki.fi/kinetive
